fold,valid_season,subgroup,rows,target_rate,prediction_mean,brier,logloss,roc_auc,pr_auc,ece,mce,overconfidence_index,underconfidence_index,prediction_bias,n_iter,fit_seconds
1,2022,Overall,247472,0.5289204435249241,0.5253413319587708,0.24486241761611782,0.6826877083102294,0.5693824953341158,0.5999545733689209,0.006582603108309068,0.25086504450211156,0.0002037138185165361,0.006374848428604195,-0.0035791115661533146,35,50.01016641900003
1,2022,Known,208522,0.526126739624596,0.5240662693977356,0.24500680324445956,0.6829798367185256,0.5688662636120692,0.5974823774196688,0.007098926834484023,0.20978474617004395,0.0005887809483515354,0.006510145886132487,-0.0020604702268604003,35,50.01016641900003
1,2022,Unknown,38950,0.5438767650834403,0.5321668982505798,0.24408943738523078,0.6811237750636374,0.5694746406732469,0.6115239674047525,0.011709877987881223,0.25833417339758435,0.002088005751639183,0.009596198295292105,-0.01170986683286046,35,50.01016641900003
2,2023,Overall,245525,0.49995723449750534,0.5104240775108337,0.24989255975633184,0.6929881276876761,0.5309713873514964,0.5187054325093681,0.010660356662142533,0.17081476798871664,0.009394929606394258,0.0010902921407701686,0.010466843013328397,30,56.85755540399998
2,2023,Known,211647,0.5001677321199922,0.5121800899505615,0.24991343851900233,0.6930354774675606,0.5317052478846636,0.5190109610558524,0.012050407423795298,0.16933187271686312,0.009980961124699886,0.0018426535734720857,0.012012357830569309,30,56.85755540399998
2,2023,Unknown,33878,0.49864218666981525,0.499454140663147,0.24976212326412742,0.6926923180512391,0.5260034373478982,0.5163931613522726,0.009195817446538385,0.1872130316846511,0.009195817446538385,0.0,0.0008119539933317266,30,56.85755540399998
3,2024,Overall,253507,0.4861049201797189,0.49888190627098083,0.24912917806396326,0.6914161083585089,0.5357862434726309,0.5131698101126712,0.012797955243329715,0.30668166814706266,0.008502541984001343,0.004267800609579057,0.012776986091261933,34,79.60593503500002
3,2024,Known,203159,0.4851569460373402,0.49980202317237854,0.2493862385039035,0.6919336598118292,0.5321975380120755,0.5085491082947244,0.014644972889328506,0.303365512140866,0.009749616191814088,0.004860900926418871,0.01464507713503832,34,79.60593503500002
3,2024,Unknown,50348,0.48993008659728293,0.49516960978507996,0.2480919145794593,0.6893277386972496,0.549554935650027,0.5306625149612457,0.005472772746811797,0.3162985801696777,0.003494678687147709,0.0019383705353930145,0.005239523187797024,34,79.60593503500002
