bin,bin_left,bin_right,count,mean_prediction,actual_rate,calibration_gap,abs_calibration_gap,confidence_gap,fold,valid_season,subgroup
3,0.2,0.30000000000000004,13,0.2875964939594269,0.5384615384615384,-0.25086504450211156,0.25086504450211156,0.17394196757903468,1,2022,Overall
4,0.30000000000000004,0.4,415,0.3792593777179718,0.4433734939759036,-0.06411411625793179,0.06411411625793179,0.06411411625793179,1,2022,Overall
5,0.4,0.5,82139,0.47559744119644165,0.4713351757386869,0.004262265457754766,0.004262265457754766,-0.004262265457754766,1,2022,Overall
6,0.5,0.6000000000000001,140690,0.5323279500007629,0.5331651147913853,-0.0008371647906223467,0.0008371647906223467,-0.0008371647906223467,1,2022,Overall
7,0.6000000000000001,0.7000000000000001,21491,0.6477726697921753,0.6994090549532362,-0.05163638516106095,0.05163638516106095,-0.05163638516106095,1,2022,Overall
8,0.7000000000000001,0.8,2724,0.7219327688217163,0.7140234948604993,0.00790927396121699,0.00790927396121699,0.00790927396121699,1,2022,Overall
3,0.2,0.30000000000000004,2,0.29021525382995605,0.5,-0.20978474617004395,0.20978474617004395,0.20978474617004395,1,2022,Known
4,0.30000000000000004,0.4,203,0.3885035812854767,0.4236453201970443,-0.03514173891156763,0.03514173891156763,0.03514173891156763,1,2022,Known
5,0.4,0.5,71527,0.4758777618408203,0.4701441413731878,0.005733620467632539,0.005733620467632539,-0.005733620467632539,1,2022,Known
6,0.5,0.6000000000000001,117124,0.5317873954772949,0.5309927939619549,0.0007946015153400543,0.0007946015153400543,0.0007946015153400543,1,2022,Known
7,0.6000000000000001,0.7000000000000001,17685,0.6471925377845764,0.7007633587786259,-0.05357082099404953,0.05357082099404953,-0.05357082099404953,1,2022,Known
8,0.7000000000000001,0.8,1981,0.7224399447441101,0.7112569409389198,0.011183003805190328,0.011183003805190328,0.011183003805190328,1,2022,Known
3,0.2,0.30000000000000004,11,0.28712037205696106,0.5454545454545454,-0.25833417339758435,0.25833417339758435,0.16742508248849353,1,2022,Unknown
4,0.30000000000000004,0.4,212,0.3704076111316681,0.46226415094339623,-0.09185653981172814,0.09185653981172814,0.09185653981172814,1,2022,Unknown
5,0.4,0.5,10612,0.47370782494544983,0.47936298529966076,-0.005655160354210931,0.005655160354210931,0.005655160354210931,1,2022,Unknown
6,0.5,0.6000000000000001,23566,0.5350146293640137,0.5439616396503437,-0.008947010286330048,0.008947010286330048,-0.008947010286330048,1,2022,Unknown
7,0.6000000000000001,0.7000000000000001,3806,0.6504682302474976,0.6931161324224908,-0.04264790217499326,0.04264790217499326,-0.04264790217499326,1,2022,Unknown
8,0.7000000000000001,0.8,743,0.7205803990364075,0.721399730820996,-0.000819331784588484,0.000819331784588484,-0.000819331784588484,1,2022,Unknown
3,0.2,0.30000000000000004,24,0.2861190140247345,0.4166666666666667,-0.1305476526419322,0.1305476526419322,0.1305476526419322,2,2023,Overall
4,0.30000000000000004,0.4,624,0.3804362714290619,0.41346153846153844,-0.033025267032476546,0.033025267032476546,0.033025267032476546,2,2023,Overall
5,0.4,0.5,100943,0.47356125712394714,0.47090932506464045,0.002651932059306694,0.002651932059306694,-0.002651932059306694,2,2023,Overall
6,0.5,0.6000000000000001,136740,0.5317999720573425,0.5218955682316806,0.009904403825661934,0.009904403825661934,0.009904403825661934,2,2023,Overall
7,0.6000000000000001,0.7000000000000001,6989,0.6309348940849304,0.49692373730147377,0.13401115678345665,0.13401115678345665,0.1278586313864042,2,2023,Overall
8,0.7000000000000001,0.8,205,0.7171562314033508,0.5463414634146342,0.17081476798871664,0.17081476798871664,0.17081476798871664,2,2023,Overall
4,0.30000000000000004,0.4,288,0.3888102173805237,0.4027777777777778,-0.013967560397254108,0.013967560397254108,0.013967560397254108,2,2023,Known
5,0.4,0.5,84259,0.4735991656780243,0.4689706737559193,0.004628491922105016,0.004628491922105016,-0.004628491922105016,2,2023,Known
6,0.5,0.6000000000000001,120210,0.5325676202774048,0.522402462357541,0.010165157919863832,0.010165157919863832,0.010165157919863832,2,2023,Known
7,0.6000000000000001,0.7000000000000001,6702,0.6310996413230896,0.4964189794091316,0.134680661913958,0.134680661913958,0.1275186207322212,2,2023,Known
8,0.7000000000000001,0.8,188,0.717204213142395,0.5478723404255319,0.16933187271686312,0.16933187271686312,0.16933187271686312,2,2023,Known
3,0.2,0.30000000000000004,24,0.2861190140247345,0.4166666666666667,-0.1305476526419322,0.1305476526419322,0.1305476526419322,2,2023,Unknown
4,0.30000000000000004,0.4,336,0.37325865030288696,0.4226190476190476,-0.049360397316160654,0.049360397316160654,0.049360397316160654,2,2023,Unknown
5,0.4,0.5,16684,0.47336992621421814,0.4807000719251978,-0.007330145710979674,0.007330145710979674,0.007330145710979674,2,2023,Unknown
6,0.5,0.6000000000000001,16530,0.5262168645858765,0.5182093163944343,0.008007548191442115,0.008007548191442115,0.008007548191442115,2,2023,Unknown
7,0.6000000000000001,0.7000000000000001,287,0.6270875334739685,0.5087108013937283,0.11837673208024024,0.11837673208024024,0.11837673208024024,2,2023,Unknown
8,0.7000000000000001,0.8,17,0.7166247963905334,0.5294117647058824,0.1872130316846511,0.1872130316846511,0.1872130316846511,2,2023,Unknown
3,0.2,0.30000000000000004,45,0.27443304657936096,0.3333333333333333,-0.05890028675397235,0.05890028675397235,0.05890028675397235,3,2024,Overall
4,0.30000000000000004,0.4,1631,0.37919288873672485,0.3746167995095034,0.004576089227221469,0.004576089227221469,-0.004576089227221469,3,2024,Overall
5,0.4,0.5,129934,0.4711042046546936,0.46283497775793864,0.008269226896754966,0.008269226896754966,-0.008269226896754966,3,2024,Overall
6,0.5,0.6000000000000001,119548,0.5282884836196899,0.5123130458058688,0.01597543781382116,0.01597543781382116,0.01597543781382116,3,2024,Overall
7,0.6000000000000001,0.7000000000000001,2310,0.6246801614761353,0.5216450216450217,0.10303513983111356,0.10303513983111356,0.10303513983111356,3,2024,Overall
8,0.7000000000000001,0.8,39,0.7169380784034729,0.41025641025641024,0.30668166814706266,0.30668166814706266,0.12719448865988314,3,2024,Overall
3,0.2,0.30000000000000004,4,0.29585686326026917,0.25,0.045856863260269165,0.045856863260269165,-0.045856863260269165,3,2024,Known
4,0.30000000000000004,0.4,567,0.3871272802352905,0.36860670194003525,0.018520578295255274,0.018520578295255274,-0.018520578295255274,3,2024,Known
5,0.4,0.5,103745,0.4722430109977722,0.46282712419875655,0.009415886799015671,0.009415886799015671,-0.009415886799015671,3,2024,Known
6,0.5,0.6000000000000001,97132,0.5276909470558167,0.5094716468311165,0.018219300224700197,0.018219300224700197,0.018219300224700197,3,2024,Known
7,0.6000000000000001,0.7000000000000001,1682,0.6238095164299011,0.4994054696789536,0.12440404675094752,0.12440404675094752,0.12321498610885473,3,2024,Known
8,0.7000000000000001,0.8,29,0.7171586155891418,0.41379310344827586,0.303365512140866,0.303365512140866,0.1309517190374177,3,2024,Known
3,0.2,0.30000000000000004,41,0.2723429203033447,0.34146341463414637,-0.06912049433080164,0.06912049433080164,0.06912049433080164,3,2024,Unknown
4,0.30000000000000004,0.4,1064,0.37496474385261536,0.37781954887218044,-0.0028548050195650876,0.0028548050195650876,0.0028548050195650876,3,2024,Unknown
5,0.4,0.5,26189,0.46659258008003235,0.46286608881591507,0.003726491264117282,0.003726491264117282,-0.003726491264117282,3,2024,Unknown
6,0.5,0.6000000000000001,22416,0.5308775901794434,0.5246252676659529,0.006252322513490505,0.006252322513490505,0.006252322513490505,3,2024,Unknown
7,0.6000000000000001,0.7000000000000001,628,0.6270120739936829,0.5812101910828026,0.045801882910880276,0.045801882910880276,0.045801882910880276,3,2024,Unknown
8,0.7000000000000001,0.8,10,0.7162985801696777,0.4,0.3162985801696777,0.3162985801696777,0.11629858016967776,3,2024,Unknown
