subgroup,rows,target_rate,prediction_mean,brier,logloss,roc_auc,pr_auc,ece,mce,overconfidence_index,underconfidence_index,prediction_bias
Overall,746504,0.5048546290441847,0.5114496350288391,0.24796578918522927,0.6890396112855476,0.5478776523274891,0.5518890297338894,0.006725745360312256,0.11030368470564123,0.004458882483910778,0.002266862876401478,0.006595005984654456
Known,623328,0.5039593921659222,0.5121219158172607,0.24810019279831325,0.6893124512383668,0.5466404260017448,0.549724311008486,0.008165526904968613,0.039356996615727724,0.005314758134956789,0.002850768770011823,0.008162523651338516
Unknown,123176,0.5093849451191791,0.5080470442771912,0.2472856442273127,0.6876589138922978,0.5544038208801597,0.562917226992353,0.002432394368229143,0.11590476412522166,0.00162395779395474,0.0008084365742744031,-0.0013379008419879268
