method,subgroup,mean_brier,mean_logloss,mean_ece,mean_mce,mean_roc_auc,mean_pr_auc
Isotonic,Known,0.2500093637552937,0.6932871313778158,0.012068504739691534,0.26559260167838056,0.5318738037895538,0.5130373265702373
Isotonic,Overall,0.24984809282443898,0.6931109936347909,0.011075779000223876,0.303828819054925,0.5332856240042096,0.5150601466271684
Isotonic,Unknown,0.24908875965030886,0.6921577362207167,0.007345401979193398,0.4699174619856335,0.5376583704954097,0.5222323294923068
Platt,Known,0.24981143296299357,0.6928405381897287,0.013151929546701926,0.31985940739305513,0.5319513928775453,0.5137800346222543
Platt,Overall,0.24967184191632896,0.6925545509567643,0.012262999585697328,0.35015545702547557,0.5333788154286523,0.5159376212713185
Platt,Unknown,0.2490693115674898,0.6913104242698688,0.008854264998879242,0.4862921274508627,0.5377791864989627,0.5235278381567592
Raw,Known,0.24964983851145292,0.6924845686396949,0.013347690156561901,0.23634869242886455,0.5319513929483695,0.5137800346752884
Raw,Overall,0.24951086891014757,0.6922021180230925,0.011729155952736124,0.23874821806788965,0.5333788154120637,0.5159376213110196
Raw,Unknown,0.24892701892179336,0.6910100283742444,0.007334295096675091,0.2517558059271644,0.5377791864989626,0.5235278381567592
