bin,bin_left,bin_right,count,mean_prediction,actual_rate,calibration_gap,abs_calibration_gap,confidence_gap,subgroup
3,0.2,0.30000000000000004,82,0.2799402177333832,0.3902439024390244,-0.11030368470564123,0.11030368470564123,0.11030368470564123,Overall
4,0.30000000000000004,0.4,2670,0.3794938325881958,0.3943820224719101,-0.01488818988371432,0.01488818988371432,0.01488818988371432,Overall
5,0.4,0.5,313016,0.4730755686759949,0.467669384312623,0.005406184363371869,0.005406184363371869,-0.005406184363371869,Overall
6,0.5,0.6000000000000001,396978,0.5309295654296875,0.5230037936611097,0.007925771768577783,0.007925771768577783,0.007925771768577783,Overall
7,0.6000000000000001,0.7000000000000001,30790,0.6422181725502014,0.6401104254628126,0.0021077470873888116,0.0021077470873888116,0.0021077470873888116,Overall
8,0.7000000000000001,0.8,2968,0.7215372920036316,0.6984501347708895,0.023087157232742128,0.023087157232742128,0.023087157232742128,Overall
3,0.2,0.30000000000000004,6,0.2939763367176056,0.3333333333333333,-0.039356996615727724,0.039356996615727724,0.039356996615727724,Known
4,0.30000000000000004,0.4,1058,0.38784945011138916,0.388468809073724,-0.0006193589623348372,0.0006193589623348372,0.0006193589623348372,Known
5,0.4,0.5,259531,0.473685085773468,0.46683825824275327,0.00684682753071475,0.00684682753071475,-0.00684682753071475,Known
6,0.5,0.6000000000000001,334466,0.5308781266212463,0.5216554149001692,0.009222711721077137,0.009222711721077137,0.009222711721077137,Known
7,0.6000000000000001,0.7000000000000001,26069,0.6415465474128723,0.635237254977176,0.006309292435696334,0.006309292435696334,0.006309292435696334,Known
8,0.7000000000000001,0.8,2198,0.7219225168228149,0.6933575978161965,0.028564919006618394,0.028564919006618394,0.028564919006618394,Known
3,0.2,0.30000000000000004,76,0.2788320779800415,0.39473684210526316,-0.11590476412522166,0.11590476412522166,0.11590476412522166,Unknown
4,0.30000000000000004,0.4,1612,0.3740098178386688,0.39826302729528534,-0.02425320945661652,0.02425320945661652,0.02425320945661652,Unknown
5,0.4,0.5,53485,0.47011837363243103,0.4717023464522763,-0.0015839728198452918,0.0015839728198452918,0.0015839728198452918,Unknown
6,0.5,0.6000000000000001,62512,0.5312047600746155,0.5302181981059636,0.0009865619686518778,0.0009865619686518778,0.0009865619686518778,Unknown
7,0.6000000000000001,0.7000000000000001,4721,0.6459267139434814,0.6670196992162677,-0.021092985272786247,0.021092985272786247,-0.021092985272786247,Unknown
8,0.7000000000000001,0.8,770,0.7204375863075256,0.712987012987013,0.007450573320512688,0.007450573320512688,0.007450573320512688,Unknown
