model,train_seasons,valid_season,train_rows,valid_rows,raw_feature_count,transformed_feature_count,pitcher_id,historical,penalty,C,solver,tol,max_iter,n_iter,converged,convergence_warning,warning_message,naive_brier,brier,brier_improvement,brier_improvement_pct,beats_naive,naive_logloss,logloss,logloss_improvement,auc,prediction_mean,prediction_min,prediction_max,fit_seconds,predict_seconds,total_seconds
LR-D-PitcherID-Historical,2019-2023,2024,1221585,253507,47,1553,True,True,l2,1.0,saga,0.001,500,259,True,False,,0.2518750479820695,0.24984287789626966,0.0020321700857998393,0.8068167538153701,True,0.6969036062219706,0.6928739447162278,0.004029661505742799,0.5304259477721519,0.5017250180244446,0.23183976113796234,0.7842423915863037,726.7464024650001,1.7243409460002113,730.212163361
LR-C-Historical,2019-2023,2024,1221585,253507,46,842,False,True,l2,1.0,saga,0.001,500,263,True,False,,0.2518750479820695,0.24986328521040793,0.0020117627716615682,0.7987145958994644,True,0.6969036062219706,0.6929151436674885,0.003988462554482042,0.530074314826019,0.501706600189209,0.23039881885051727,0.7871372103691101,720.0799822479999,2.2032275199999276,723.4363987500001
LR-B-PitcherID,2019-2023,2024,1221585,253507,28,1518,True,False,l2,1.0,saga,0.001,500,284,True,False,,0.2518750479820695,0.25391698060524664,-0.002041932623177145,-0.8106926984377215,False,0.6969036062219706,0.7011764727130396,-0.004272866491069061,0.4999097067877341,0.5329518914222717,0.43764880299568176,0.6731036305427551,444.08322058600015,1.1059948520000944,446.19682835899994
LR-A-NoPitcherID,2019-2023,2024,1221585,253507,27,807,False,False,l2,1.0,saga,0.001,500,229,True,False,,0.2518750479820695,0.2540624823803619,-0.002187434398292387,-0.8684601415730973,False,0.6969036062219706,0.7014610581416117,-0.004557451919641187,0.49585251511663003,0.5336187481880188,0.4399990439414978,0.6735264658927917,346.66074233100005,0.9721187879999889,348.579522255
