fold,model,train_period,valid_season,raw_feature_count,transformed_feature_count,pitcher_id,penalty,C,l1_ratio,solver,overall_brier,known_brier,unknown_brier,overall_logloss,coef_total_count,coef_nonzero_count,coef_zero_count,coefficient_sparsity,n_iter,converged,convergence_warning,warning_message,preprocess_seconds,fit_seconds,predict_seconds
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.001,0.25,saga,0.2448952476868164,0.2450359831016807,0.24414180917132644,0.6827570920017023,683,61,622,0.9106881405563689,32,True,False,,12.647727327999746,65.924421609001,0.03073041999959969
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.001,0.25,saga,0.24989111462843827,0.24990041928947665,0.24983298535295614,0.6929874917790813,771,62,709,0.9195849546044098,33,True,False,,17.471264092000638,92.65741592799895,0.03614807499980088
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.001,0.25,saga,0.24912229896780233,0.24937234206582487,0.24811335112973137,0.6914023832707992,842,61,781,0.9275534441805225,47,True,False,,21.46951528199861,166.07980614799817,0.04193931000190787
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.01,0.25,saga,0.2448612316898656,0.24498863630262335,0.24417916071011006,0.6826845640152303,683,212,471,0.6896046852122987,41,True,False,,12.647727327999746,109.87709528699997,0.036477415000263136
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.01,0.25,saga,0.2499204412841513,0.2499287557754659,0.24986849792435312,0.6930556013860136,771,230,541,0.7016861219195849,29,True,False,,17.471264092000638,109.20696512799987,0.038310979998641415
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.01,0.25,saga,0.24917887795539168,0.24943091689489394,0.24816187670588147,0.6915206256948402,842,260,582,0.6912114014251781,27,True,False,,21.46951528199861,131.8198320420015,0.041282518999651074
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,0.1,0.25,saga,0.24484813969207667,0.24497084928103477,0.244191203904946,0.6826574037313574,683,554,129,0.18887262079062958,21,True,False,,12.647727327999746,85.4665578410004,0.03374276300019119
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,0.1,0.25,saga,0.24997922051101717,0.24999017553773398,0.24991078085874924,0.6931758152509919,771,608,163,0.21141374837872892,26,True,False,,17.471264092000638,149.51484826500018,0.04914645199824008
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,0.1,0.25,saga,0.2491950960536264,0.24944618942927244,0.2481819102447981,0.6915550681579645,842,672,170,0.20190023752969122,22,True,False,,21.46951528199861,170.3745354340026,0.05406925900024362
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,1.0,0.25,saga,0.24482188198153687,0.24495459127113464,0.24411141198190953,0.6826053794841342,683,677,6,0.008784773060029283,20,True,False,,12.647727327999746,93.21643595800015,0.035520613000699086
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,1.0,0.25,saga,0.25003580767123157,0.250050450339251,0.24994433011180392,0.6932931781840616,771,761,10,0.01297016861219196,20,True,False,,17.471264092000638,133.20254856999964,0.038767284000641666
3,LR-C-Historical,2019~2023,2024,46,842,False,elasticnet,1.0,0.25,saga,0.24921091214624724,0.24946361745054685,0.2481912220509864,0.6915879029935451,842,830,12,0.014251781472684086,24,True,False,,21.46951528199861,215.07727525800146,0.054825741000968264
1,LR-C-Historical,2019~2021,2022,46,683,False,elasticnet,10.0,0.25,saga,0.2448049592906502,0.24494101023730333,0.24407659945758178,0.6825717605580551,683,683,0,0.0,19,True,False,,12.647727327999746,88.87363476700011,0.03291876100047375
2,LR-C-Historical,2019~2022,2023,46,771,False,elasticnet,10.0,0.25,saga,0.250074989365357,0.2500929430351332,0.24996282688979374,0.6933742817676007,771,770,1,0.0012970168612191958,38,True,False,,17.471264092000638,256.98757839300015,0.047123475997068454
