model,penalty,C,l1_ratio,mean_overall_brier,std_overall_brier,mean_known_brier,std_known_brier,mean_unknown_brier,std_unknown_brier,mean_logloss,mean_coefficient_sparsity,mean_nonzero_coef,mean_n_iter,convergence_warning_folds,all_converged,mean_fit_seconds
LR-C-Historical,elasticnet,0.01,0.25,0.24798685030980283,0.002230784295655404,0.2481161029909944,0.0022207726587691917,0.24740317844678153,0.0023838144181980935,0.6890869303653613,0.6941674028523539,234.0,32.333333333333336,0,True,116.96796415233378
LR-C-Historical,l1,0.01,,0.24798721570800178,0.0022487313093122897,0.248117161305355,0.0022401521355829806,0.2474005185112836,0.0023940461383423132,0.6890873372889256,0.8760595537402501,94.33333333333333,29.666666666666668,0,True,85.75609991566671
LR-C-Historical,elasticnet,0.01,0.5,0.24798798296471816,0.0022338825840559273,0.2481169408463817,0.0022249643315565095,0.2474062615659451,0.002381592593716944,0.6890890775891747,0.8028572396049642,150.66666666666666,35.333333333333336,0,True,110.49702035266698
LR-C-Historical,elasticnet,0.1,0.75,0.24800353428990665,0.0022654824458424516,0.24813239554685662,0.0022566670282262507,0.24742220292204967,0.0024112607437823297,0.6891219870458011,0.422553773152542,442.3333333333333,24.666666666666668,0,True,117.4194374610003
LR-D-PitcherID-Historical,elasticnet,0.1,0.75,0.24800538092263846,0.002269900238245773,0.24813460035363852,0.0022613809526284847,0.24742150880017497,0.0024124345230045452,0.6891246320969638,0.4188710486225722,817.6666666666666,27.0,0,True,189.39116690533288
LR-C-Historical,elasticnet,0.1,0.5,0.2480055085987518,0.0022590259878889642,0.2481338223684227,0.0022506723340263704,0.24742697559533489,0.0024024204743666715,0.6891262880007,0.34158640223766595,504.3333333333333,21.333333333333332,0,True,108.40666506033388
LR-D-PitcherID-Historical,elasticnet,0.1,0.25,0.24800625734976353,0.002261817723981964,0.2481353767906633,0.0022534208726946903,0.2474225310418455,0.0024033588753682735,0.6891267645391251,0.17731016506160036,1156.3333333333333,20.666666666666668,0,True,179.42661857000107
LR-C-Historical,elasticnet,0.1,0.25,0.24800748541890674,0.0022568136619873645,0.24813573808268038,0.002248906558995014,0.24742796500283112,0.0023950943201375557,0.6891294290467712,0.20072886889968325,611.3333333333334,23.0,0,True,135.11864718000106
LR-D-PitcherID-Historical,l1,0.1,,0.24800935560232618,0.002274378809712085,0.24813851141694152,0.002266079707315573,0.24742564728536487,0.0024149898990869904,0.6891329774100949,0.4985139099346482,706.0,29.666666666666668,0,True,187.31056183200113
LR-C-Historical,l1,0.1,,0.24801117667405656,0.002273310774440132,0.24814055839120472,0.002264969027007652,0.24742640114199752,0.0024143102408010777,0.6891366919577245,0.4975835580922885,384.3333333333333,29.333333333333332,0,True,131.54045403333353
LR-D-PitcherID-Historical,elasticnet,0.1,0.5,0.24801686181975646,0.0022684804940964246,0.24814706817681628,0.0022619453225962444,0.24742948590766264,0.0024038980276477,0.6891482156795092,0.3260676797408113,947.6666666666666,23.0,0,True,173.89289659233327
LR-C-Historical,elasticnet,1.0,0.5,0.24801785690817535,0.0022847538225980765,0.24815021286828806,0.002272852174922238,0.2474170030943662,0.0024431494521079773,0.6891521798213674,0.03146769188117549,741.0,21.333333333333332,0,True,141.23063017333334
LR-D-PitcherID-Historical,elasticnet,1.0,0.25,0.24802198065595704,0.0022904409794813328,0.24815538573872756,0.002278752280034057,0.24741458086714152,0.002445186217980661,0.6891603217817561,0.008479522677391304,1393.0,20.0,0,True,207.94086192966702
LR-D-PitcherID-Historical,elasticnet,1.0,0.5,0.2480222834909159,0.002291657199820819,0.24815526842459126,0.0022800312838540983,0.24741719138260057,0.002446124962914215,0.6891608138755813,0.025176115386897832,1369.3333333333333,19.333333333333332,0,True,196.60443424700134
LR-C-Historical,elasticnet,1.0,0.25,0.24802286726633857,0.0022883535932954812,0.24815621968697746,0.0022765341486077075,0.24741565471489993,0.0024436123529337807,0.6891621535539136,0.012002241048301776,756.0,21.333333333333332,0,True,147.1654199286671
LR-C-Historical,elasticnet,1.0,0.75,0.24802436294131247,0.0022944604878331765,0.24815849518864344,0.0022835762973217803,0.24741591533573484,0.002450605426707762,0.6891651098134005,0.053242701605881286,724.3333333333334,21.333333333333332,0,True,136.79741504233425
LR-D-PitcherID-Historical,elasticnet,1.0,0.75,0.2480286929556894,0.0023012156530240707,0.2481634120974406,0.0022905039818274593,0.24741632136435543,0.0024541597318505463,0.6891735860333603,0.04490415414574578,1341.6666666666667,18.666666666666668,0,True,184.4114843619997
LR-D-PitcherID-Historical,l1,1.0,,0.24803187654499617,0.0023032636815982625,0.2481664671466336,0.002292519821524102,0.24742026614762028,0.002456333826509774,0.6891800162369618,0.06773795593952214,1309.6666666666667,21.333333333333332,0,True,200.37185566033318
LR-D-PitcherID-Historical,elasticnet,10.0,0.25,0.24803275062404215,0.0023119130772278414,0.24816846860343603,0.002299207511417232,0.2474122010083317,0.0024688225138275992,0.6891830587194855,0.0002349072116513977,1404.6666666666667,25.666666666666668,0,True,272.9426102806671
LR-C-Historical,l1,1.0,,0.24803340442798796,0.002301424093855767,0.24816803815147168,0.0022908381472377297,0.2474217523604889,0.002454005820956795,0.6891831438255124,0.07445080125229159,708.3333333333334,21.0,0,True,129.63038251333455
LR-D-PitcherID-Historical,elasticnet,10.0,0.75,0.2480335029085944,0.0023185889685049354,0.2481699350664083,0.002305999450579163,0.24741001405027116,0.002476157348361687,0.6891841486950411,0.0016703351232899035,1402.6666666666667,25.0,0,True,259.9365970566675
LR-C-Historical,elasticnet,10.0,0.5,0.24803480367051245,0.0023108127379864517,0.24817102223299178,0.0022985165015213978,0.24741285180068906,0.0024679230715565926,0.6891870582755337,0.00043233895373973193,765.0,20.0,0,True,135.5624498649989
LR-D-PitcherID-Historical,elasticnet,10.0,0.5,0.24803552837542417,0.0023147080613708784,0.2481717579154735,0.002302406989603595,0.24741316746038847,0.0024709640314494034,0.6891885121721844,0.0004698144233027954,1404.3333333333333,24.666666666666668,0,True,257.8363071683343
LR-C-Historical,elasticnet,100.0,0.75,0.24803623784394746,0.0023242004337870096,0.24817281083427523,0.0023094478001286062,0.24740958759382234,0.0024883436346859055,0.6891906998745991,0.0,765.3333333333334,27.666666666666668,0,True,169.06121973633404
LR-C-Historical,elasticnet,10.0,0.25,0.24803698349275924,0.0023112138333907578,0.24817340591467585,0.0022990289372091808,0.24741347298080038,0.0024667196439837795,0.6891916943362659,0.00043233895373973193,765.0,25.0,0,True,169.63666078133306
LR-C-Historical,elasticnet,100.0,0.5,0.24803702590345064,0.002320148527022317,0.24817322586333865,0.0023054891933208606,0.2474121733594612,0.0024836031846114937,0.6891925131069216,0.0,765.3333333333334,28.0,0,True,172.68559449166605
LR-C-Historical,l1,100.0,,0.2480370746171757,0.002324795629483656,0.24817321419059177,0.0023096041532847888,0.24741226092203383,0.0024903731005884947,0.6891927449700842,0.00043233895373973193,765.0,25.0,0,True,150.27842407700032
LR-D-PitcherID-Historical,elasticnet,100.0,0.75,0.24803781277532214,0.0023284933007091334,0.24817461437762867,0.002313934932181939,0.2474094147744612,0.0024903058838075683,0.6891943580645205,0.0,1405.0,25.333333333333332,0,True,235.84911075766527
LR-C-Historical,elasticnet,10.0,0.75,0.2480378729704935,0.0023171264987864823,0.2481750473312462,0.0023052399991892723,0.24741235212094168,0.002474832649312895,0.6891929543849785,0.0013162647202048054,764.3333333333334,20.0,0,True,135.14496121833326
LR-C-Historical,elasticnet,100.0,0.25,0.24803794544455784,0.0023199442563981644,0.24817415831755726,0.0023053343495318492,0.2474127447760884,0.002482646099025621,0.6891948967023668,0.0,765.3333333333334,25.333333333333332,0,True,154.58786346299954
LR-D-PitcherID-Historical,elasticnet,100.0,0.25,0.2480384460983196,0.0023232513802528567,0.24817486726098117,0.0023088484925189354,0.24741163320051593,0.0024837125239075765,0.6891960459750233,0.000214638334406525,1404.6666666666667,26.0,0,True,242.8444194720008
LR-D-PitcherID-Historical,elasticnet,100.0,0.5,0.24803861730664079,0.002324843243852809,0.248175058950696,0.002310372698700976,0.24741193826021038,0.0024859607277725316,0.6891962063603234,0.0002349072116513977,1404.6666666666667,25.666666666666668,0,True,239.9661323963331
LR-D-PitcherID-Historical,l1,100.0,,0.24803929063554989,0.0023297385944877754,0.24817602229088462,0.0023150705285553343,0.24741124112514146,0.0024920821795544387,0.6891973433284697,0.0,1405.0,25.0,0,True,233.4953011563357
LR-D-PitcherID-Historical,l1,10.0,,0.2480433860080614,0.002321889269017947,0.24818013529210595,0.0023103762654790153,0.24741920141727944,0.002475664209371743,0.6892042616126147,0.001402166713528573,1403.0,25.666666666666668,0,True,261.580555759668
LR-C-Historical,l1,10.0,,0.2480440490463001,0.0023195206486176867,0.24818130426904975,0.0023082393111440304,0.2474176896090451,0.0024727853448402457,0.6892056714011151,0.0021444864926302063,763.6666666666666,25.666666666666668,0,True,170.18041358700006
LR-D-PitcherID-Historical,l2,10.0,,0.24840364364769518,0.0031204780888705766,0.2485449750715922,0.003111299263673493,0.24773969426469775,0.0032185629061299466,0.689944498695283,0.0,1405.0,11.333333333333334,0,True,26.622246096332066
LR-D-PitcherID-Historical,l2,0.1,,0.2484317539282155,0.003145002206055724,0.24858223174481534,0.00314466473628656,0.2477060821706967,0.0031736673434120005,0.690010120233281,0.0,1405.0,17.333333333333332,0,True,38.597204714667896
LR-C-Historical,l2,0.01,,0.24845350189549506,0.0030986320939037203,0.24860710312961162,0.003102124329023342,0.24772094855271828,0.003119093257019875,0.6900520771175546,0.0,765.3333333333334,16.333333333333332,0,True,39.37919842533241
LR-D-PitcherID-Historical,l2,0.01,,0.24846123640791348,0.003138471734603018,0.24861515975509926,0.0031393659230326185,0.2477286396227094,0.003175513729206317,0.6900677732709685,0.0,1405.0,21.666666666666668,0,True,49.43487484066524
LR-D-PitcherID-Historical,l2,1.0,,0.24846292663823535,0.0031810360542721154,0.24861715637818796,0.0031865893997429103,0.247713205754397,0.0031709938916989464,0.6900791901916262,0.0,1405.0,12.0,0,True,28.147115774333844
LR-D-PitcherID-Historical,l2,100.0,,0.24846823246598546,0.0031545882305023636,0.24861954696561636,0.0031512359110239183,0.24776209572524635,0.0032351798723071466,0.6900773004051391,0.0,1405.0,11.666666666666666,0,True,29.29485349799931
LR-D-PitcherID-Historical,l2,0.001,,0.24846898079347454,0.0031198889694950952,0.24861863507539664,0.003119978509185591,0.2477662347113724,0.0031728182427630414,0.6900807382330246,0.0,1405.0,303.6666666666667,0,True,724.2324445246662
LR-C-Historical,l2,0.001,,0.2484788754298859,0.003085073749919516,0.2486296805010587,0.003090989878853415,0.24777159314243677,0.0031093914518646416,0.6901009897733287,0.0,765.3333333333334,298.3333333333333,0,True,704.4557182003318
LR-C-Historical,l2,0.1,,0.24851363948356073,0.003143448381569504,0.24867814485936512,0.003151343105780141,0.2477302752315139,0.003148552404323845,0.6901769363623284,0.0,765.3333333333334,19.333333333333332,0,True,41.933181181999316
LR-C-Historical,l2,1.0,,0.24853189221884522,0.0031701704527393603,0.2486990530230222,0.003182176825476992,0.24773188491930795,0.0031481887138992337,0.6902172184249968,0.0,765.3333333333334,15.333333333333334,0,True,33.69856767966606
LR-C-Historical,l2,10.0,,0.24856104844644913,0.00320251470903411,0.24872951953175915,0.0032223745743289347,0.24774971932605716,0.003130136636585162,0.690282526394955,0.0,765.3333333333334,10.666666666666666,0,True,25.110267518666053
LR-C-Historical,l2,100.0,,0.24874325001597616,0.0034327767898474134,0.24893101173004842,0.003459825255923057,0.24779518322237423,0.0032650767217004472,0.6906766297446297,0.0,765.3333333333334,11.0,0,True,25.061903752666087
