model,folds,mean_brier,std_brier,mean_logloss,std_logloss,mean_auc,std_auc,mean_brier_improvement,std_brier_improvement,folds_beating_naive,mean_prediction,mean_fit_seconds,all_converged
LR-D-PitcherID-Historical,3,0.24846942640084937,0.003119972788298925,0.6900816891923132,0.0064221914620271785,0.5423920956108402,0.022253932119073103,0.0024663848983935235,0.0020892451807892442,3,0.5154498020807902,697.914837707333,True
LR-C-Historical,3,0.24847846804018936,0.0030850906231535765,0.6901001434146673,0.006349748107562751,0.5421703303652774,0.022050861268283824,0.0024573432590535202,0.0020514943935695845,3,0.5151004791259766,676.2008376009995,True
LR-B-PitcherID,3,0.2512158998262563,0.004190761344955387,0.6957027237275786,0.008622466624108515,0.5207787928659894,0.03224749104565024,-0.00028008852701337056,0.0030937384591465866,1,0.5393349726994833,388.4259126849999,True
LR-A-NoPitcherID,3,0.2513933250400187,0.0041692621458672766,0.6960566808196437,0.008575489985739327,0.5168637464341896,0.032818227306012686,-0.00045751374077583157,0.0030731334418289654,1,0.5398139357566833,342.09297726766727,True
