model,pitcher_id,historical,mean_overall_brier,std_overall_brier,mean_known_brier,std_known_brier,mean_unknown_brier,std_unknown_brier,mean_known_logloss,mean_unknown_logloss,mean_known_auc,mean_unknown_auc,mean_known_pr_auc,mean_unknown_pr_auc,all_converged
LR-D-PitcherID-Historical,True,True,0.24846942640084937,0.003119972788298925,0.24861910647314814,0.0031200233603217633,0.2477664961083198,0.003172995119483036,0.6903885194741366,0.6886326653270652,0.5418424167578282,0.5425244474849822,0.5392520094708462,0.5471469729418104,True
LR-C-Historical,False,True,0.24847846804018936,0.0030850906231535765,0.24862917810603968,0.0030909391496494673,0.24777157151328602,0.0031095461171781955,0.6904085190812951,0.688645940370106,0.5415389065823911,0.5426812366593307,0.538876799666982,0.5473486722525738,True
LR-B-PitcherID,True,False,0.2512158998262563,0.004190761344955387,0.25119553111493315,0.00402313865476224,0.2513064730844043,0.005082195472092625,0.6956600795479702,0.6958956067186238,0.5224095069197804,0.5116817582470538,0.5275045589265239,0.5251577751807215,True
LR-A-NoPitcherID,False,False,0.2513933250400187,0.0041692621458672766,0.25140848532063004,0.004005086918058172,0.2513070567511625,0.0050502699818306355,0.6960858960407283,0.695891854021057,0.51778121558193,0.511598848657933,0.5241531967625125,0.5251267027641282,True
