fold,subgroup,rows,rows_with_hist_nan,hist_nan_row_rate,mean_hist_nan_count,median_hist_nan_count,pitcher_n_zero_rate,pitcher_n_missing_rate,batter_n_zero_rate
1,Overall,247472,3023,0.012215523372341114,0.07486099437512123,0.0,0.00035559578457360834,0.0,0.00035559578457360834
1,Known,208522,78,0.00037406125013188056,0.0007481225002637611,0.0,0.0,0.0,0.00037406125013188056
1,Unknown,38950,2945,0.07560975609756097,0.4716302952503209,0.0,0.0022593068035943516,0.0,0.00025673940949935817
2,Overall,245525,2792,0.011371550758578557,0.06914978108135628,0.0,0.0002565930149679259,0.0,0.00028917625496385297
2,Known,211647,64,0.00030239030083110084,0.0006047806016622017,0.0,0.0,0.0,0.00030239030083110084
2,Unknown,33878,2728,0.08052423401617569,0.49737292638290337,0.0,0.00185961390873133,0.0,0.00020662376763681446
3,Overall,253507,3721,0.014678095673886718,0.08935453458878848,0.0,0.00031951780424209193,0.0,0.0003471304539914085
3,Known,203159,74,0.00036424672301005616,0.0007284934460201123,0.0,0.0,0.0,0.00036424672301005616
3,Unknown,50348,3647,0.07243584650830222,0.4469690950981171,0.0,0.00160880273297847,0.0,0.0002780646698975133
