model,stage,features,mean_overall_brier,std_overall_brier,mean_known_brier,mean_unknown_brier,all_converged
M0-Mean,M0,0,0.25093581129924286,0.0011172381851015873,0.25103057340704293,0.2504597689660924,True
M2-Context,M2,27,0.2507006354044478,0.00241881903195829,0.2507727573488941,0.2503387968218496,True
M3-Historical,M3,46,0.24796138514547097,0.002213351563135233,0.24810216008912178,0.24731449174293918,True
M3-Historical-Reduced,Reduced,43,0.2479616473005296,0.0022137278107122647,0.24810240196811664,0.247314950835229,True
M4-PitcherID,M4,47,0.24796141072959224,0.002213359260732617,0.24810218200961623,0.2473145394028563,True
M4-PitcherID-Reduced,Reduced,44,0.24796165620136112,0.002213735977672126,0.24810241491269594,0.24731493452108866,True
