fold,train_start,train_end,valid_season,train_rows,valid_rows,train_rate,valid_rate,baseline_probability,brier,logloss,train_period
1,2019,2021,2022,728588,247472,0.5431423520563061,0.5289204435249241,0.5431423520563061,0.24936587062859672,0.6918804070069514,2019~2021
2,2019,2022,2023,976060,245525,0.5395365039034485,0.49995723449750534,0.5395365039034485,0.2515665167378201,0.6962900426820432,2019~2022
3,2019,2023,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.5315815109059132,0.25187504706086583,0.6969036043721832,2019~2023
